Idrott 1 - spec,Onsdag,15:30,17:00,E-sport
Svenska 3,Onsdag,9:20,11:00,1
Svenska 1,Fredag,12:00,13:30,1
Svenska 1,Tisdag,8:10,09:40,1
Svenska 2,Onsdag,9:40,11:00,1
Svenska 2,Torsdag,12:00,13:30,1
Svenska 2,Fredag,12:00,13:30,1
Idrott 1 - spec,M�ndag,14:10,15:40,E-sport
Idrott 2 - spec,M�ndag,14:10,15:40,E-sport
Idrott 2 - spec,Onsdag,15:30,17:00,E-sport
Svenska 3,Fredag,8:10,09:50,1
Svenska 3,Onsdag,12:00,13:20,1
Svenska 3,M�ndag,12:00,13:20,1
Svenska 3,M�ndag,9:50,11:00,1
Idrott 2 - spec,Fredag,15:00,17:00,E-sport
Idrott 1 - spec,Fredag,15:00,17:00,E-sport
Svenska 3,Fredag,14:20,15:40,1
Idrott 2 - spec,Tisdag,15:10,17:00,E-sport
Idrott 2 - spec,M�ndag,15:10,17:00,E-sport
Idrott 1 - spec,Tisdag,15:10,17:00,E-sport
Idrott 1 - spec,M�ndag,15:10,17:00,E-sport
Svenska 1,Torsdag,8:10,09:40,1
Svenska 2,M�ndag,13:35,14:55,1
Svenska 2,Onsdag,8:10,09:35,1
Svenska 1,Onsdag,13:35,15:05,1
Svenska 1,Fredag,8:10,09:25,1
Svenska 1,Torsdag,8:10,09:25,1
Svenska 1,Tisdag,8:10,09:30,1
Svenska 2,Fredag,9:40,11:00,1
Svenska 1,Tisdag,9:55,11:00,1
Svenska 1,M�ndag,8:10,09:35,1
Svenska 1,Torsdag,9:40,11:00,1
Svenska 1,Onsdag,9:40,11:00,1
Svenska 1,Torsdag,9:40,11:00,1
Svenska 1,M�ndag,12:00,13:20,1
Svenska 1,Torsdag,13:35,14:55,1
Svenska 1,Onsdag,13:30,14:50,1
Mentorstid,Onsdag,12:00,13:00,1
Mentorstid,Tisdag,13:35,14:35,1
Svenska 1,Fredag,9:40,11:00,1
Mentorstid,Torsdag,9:45,10:45,1
Mentorstid,Torsdag,15:00,16:00,1
Mentorstid,Torsdag,12:00,13:00,1
Mentorstid,Onsdag,13:35,14:35,1
Mentorstid,Tisdag,13:30,14:30,1
Mentorstid,Fredag,13:40,14:40,1
Mentorstid,Fredag,8:35,09:35,1
Svenska 1,Tisdag,12:00,13:20,1
