Datalagring,Torsdag,8:15,10:15,
Till. programmering,Tisdag,10:00,11:00,11
Programmering 2,M�ndag,9:50,11:00,11
Webbutveckling 2,Tisdag,12:00,13:10,11
Webbutveckling 1,Torsdag,8:10,09:30,11
Webbserv. prog 1,Fredag,8:10,09:35,11
Till. programmering,Onsdag,12:20,13:50,APL
Till. programmering,M�ndag,11:55,13:35,11
Webbserv. prog 1,Torsdag,15:25,17:00,11
Webbserv. prog 1,Onsdag,8:10,09:35,11
Till. programmering,Onsdag,12:00,13:30,11
Till. programmering,Onsdag,8:10,09:30,11
Webbutveckling 1,Fredag,12:00,13:25,11
Datalagring,Onsdag,9:35,11:05,Te4
Datalagring,M�ndag,9:30,11:00,Te4
Datalagring,Onsdag,12:00,13:20,
Webbutveckling 1,M�ndag,12:00,13:20,11
Webbutveckling 1,M�ndag,12:00,13:30,11
Webbserv. prog 1,Onsdag,15:30,17:00,11
Webbutveckling 1,Torsdag,13:35,15:05,11
Webbutveckling 1,Fredag,12:00,13:20,11
Programmering 2,Tisdag,9:30,11:00,11
Programmering 2,Onsdag,9:40,11:00,11
Programmering 2,Torsdag,13:25,14:55,11
Webbutveckling 2,Torsdag,9:30,11:00,11
Webbutveckling 2,Fredag,9:40,11:00,11
Programmering 2,Torsdag,12:00,13:30,11
Webbutveckling 2,Torsdag,9:35,11:00,11
Webbutveckling 2,Fredag,9:55,11:00,11
Webbserv. prog 1,Torsdag,15:35,17:00,11
Webbutveckling 2,Tisdag,12:00,13:00,11
Till. programmering,Torsdag,13:35,15:25,11
Till. programmering,Tisdag,12:00,14:40,11
Webbutveckling 2,Torsdag,8:10,09:40,11
Till. programmering,Torsdag,9:45,11:00,11
Till. programmering,Torsdag,12:00,13:30,11
Webbserv. prog 1,M�ndag,8:10,09:40,11
Datalagring,Torsdag,13:05,14:25,
Programmering 2,Tisdag,9:40,11:00,11
Till. programmering,Fredag,8:10,11:00,11
Datalagring,Fredag,8:15,10:15,
Datalagring,M�ndag,8:15,09:30,
